,LOCATION,PRICE,TYPE_OF_PROPERTY,POOL,GARAGE,DATE,BEDROOM,SQM
245,KAPPARA,,,No,No,2015,,25.0
246,KAPPARA,650000.0,villa,Yes,Yes,2015,4,
247,KAPPARA,485000.0,villa,Yes,Yes,2015,3,
248,KAPPARA,485000.0,villa,Yes,No,2015,3,
249,KIRKOP,328000.0,house,No,No,2015,,
250,KIRKOP,114000.0,maisonette,No,No,2015,,
251,KIRKOP,99000.0,house,No,No,2015,1,
252,LIJA,275000.0,house,No,Yes,2015,3,
253,LIJA,475000.0,villa,No,Yes,2015,3,
254,LIJA,198000.0,house,No,Yes,2015,3,
255,LIJA,,house,Yes,Yes,2015,4,
256,LIJA,189000.0,maisonette,No,Yes,2015,,
257,LIJA,172000.0,apartment,No,No,2015,,
258,LIJA,700000.0,,Yes,No,2015,3,
259,LIJA,,,No,No,2015,,800.0
260,LUQA,,,No,No,2015,,
261,LUQA,320000.0,house,Yes,No,2015,,
262,MADLIENA,299500.0,apartment,No,Yes,2015,,145.0
263,MADLIENA,940000.0,villa,No,No,2015,,400.0
264,MADLIENA,1134000.0,,Yes,Yes,2015,3,567.0
265,MADLIENA,262000.0,apartment,No,No,2015,3,160.0
266,MANIKATA,152000.0,apartment,No,No,2015,3,
267,MANIKATA,730000.0,villa,Yes,Yes,2015,3,
268,MANIKATA,310000.0,house,No,Yes,2015,3,
269,MARSA,60000.0,maisonette,No,No,2015,,
270,MARSA,,villa,No,No,2015,,
271,MARSASCALA,111000.0,maisonette,No,No,2015,2,
272,MARSASCALA,97000.0,house,No,No,2015,,
273,MARSASCALA,70000.0,apartment,No,No,2015,1,
274,MARSASCALA,95000.0,apartment,No,No,2015,2,
275,MARSASCALA,125000.0,apartment,No,No,2015,3,
276,MARSASCALA,385000.0,house,No,Yes,2015,3,
277,MARSASCALA,98000.0,apartment,No,No,2015,,
278,MARSASCALA,197000.0,apartment,Yes,No,2015,,
279,MARSASCALA,170000.0,maisonette,No,Yes,2015,3,
280,MARSASCALA,135500.0,maisonette,No,No,2015,3,
281,MARSASCALA,75000.0,apartment,No,No,2015,2,
282,MARSASCALA,225000.0,maisonette,No,Yes,2015,3,
283,MARSASCALA,135000.0,apartment,No,Yes,2015,3,
284,MARSASCALA,,house,No,No,2015,0,
285,MARSASCALA,348500.0,house,No,Yes,2015,3,160.0
286,MARSASCALA,93700.0,house,No,No,2015,2,
287,MARSASCALA,64000.0,apartment,No,No,2015,1,
288,MARSASCALA,148000.0,house,No,Yes,2015,3,
289,MARSASCALA,198000.0,maisonette,No,No,2015,,
290,MARSASCALA,235000.0,apartment,No,No,2015,2,
291,MARSASCALA,281500.0,house,No,Yes,2015,3,
292,MARSASCALA,123500.0,apartment,No,No,2015,,
293,MARSASCALA,150000.0,house,No,No,2015,,
294,MARSASCALA,240000.0,house,No,Yes,2015,,
295,MARSAXLOKK,220000.0,maisonette,No,Yes,2015,3,
296,MARSAXLOKK,118000.0,apartment,No,No,2015,3,
297,MELLIEĦA,210000.0,,No,No,2015,3,
298,MELLIEĦA,234000.0,maisonette,No,Yes,2015,3,
299,MELLIEĦA,395000.0,house,No,Yes,2015,,
300,MELLIEĦA,690000.0,,Yes,Yes,2015,,970.0
301,MELLIEĦA,650000.0,apartment,Yes,Yes,2015,3,
302,MELLIEĦA,117000.0,apartment,No,No,2015,2,
303,MELLIEĦA,285000.0,apartment,No,No,2015,3,
304,MELLIEĦA,148000.0,apartment,No,No,2015,3,
305,MELLIEĦA,365000.0,house,No,Yes,2015,3,
306,MELLIEĦA,180000.0,maisonette,No,Yes,2015,3,
307,MELLIEĦA,20000.0,,No,Yes,2015,,
308,MELLIEĦA,142000.0,apartment,No,No,2015,3,50.0
309,MELLIEĦA,280000.0,house,No,No,2015,3,
310,MELLIEĦA,155000.0,maisonette,No,No,2015,,145.0
311,MELLIEĦA,210000.0,maisonette,No,No,2015,,
312,MELLIEĦA,240000.0,maisonette,No,Yes,2015,,
313,MELLIEĦA,135000.0,house,No,No,2015,,
314,MELLIEĦA,115000.0,apartment,No,No,2015,,
315,MELLIEĦA,120000.0,house,No,No,2015,,
316,MELLIEĦA,198000.0,apartment,No,No,2015,3,
317,MĠARR,21500.0,,No,No,2015,,912.0
318,MĠARR,190000.0,house,No,Yes,2015,3,
319,MĠARR,,maisonette,No,Yes,2015,3,
320,MĠARR,198000.0,house,No,Yes,2015,3,
321,MĠARR,158000.0,apartment,No,No,2015,3,160.0
322,MĠARR,117000.0,,No,No,2015,,
323,MOSTA,470000.0,house,No,Yes,2015,,
324,MOSTA,319000.0,house,No,Yes,2015,3,
325,MOSTA,680000.0,villa,No,Yes,2015,3,86.0
326,MOSTA,,,No,No,2015,,
327,MOSTA,165000.0,apartment,No,No,2015,,
328,MOSTA,141000.0,house,No,No,2015,,
329,MOSTA,345000.0,house,Yes,No,2015,,
330,MOSTA,215000.0,maisonette,No,No,2015,,
331,MOSTA,225000.0,house,No,No,2015,3,200.0
332,MOSTA,209000.0,house,No,No,2015,3,
333,MOSTA,129000.0,apartment,No,No,2015,3,
334,MOSTA,225000.0,maisonette,No,Yes,2015,3,
335,MOSTA,450000.0,villa,No,Yes,2015,,
336,MOSTA,245000.0,house,No,Yes,2015,3,
337,MOSTA,319000.0,house,No,Yes,2015,,
338,MOSTA,148000.0,,No,Yes,2015,3,
339,MOSTA,,house,No,No,2015,2,
340,MOSTA,,maisonette,No,No,2015,3,
341,MOSTA,172000.0,maisonette,No,No,2015,3,
342,MOSTA,155000.0,maisonette,No,No,2015,,
343,MOSTA,140000.0,apartment,No,No,2015,3,
344,MOSTA,95000.0,house,No,No,2015,3,
345,MOSTA,165000.0,apartment,No,No,2015,3,
346,MOSTA,159000.0,house,No,Yes,2015,2,
347,MOSTA,184000.0,house,No,No,2015,,190.0
348,MOSTA,,house,No,No,2015,2,
349,MOSTA,,house,No,No,2015,,
350,MOSTA,330000.0,house,No,Yes,2015,4,
351,MOSTA,,house,No,Yes,2015,3,
352,MOSTA,141000.0,house,No,No,2015,2,
353,MOSTA,89900.0,,No,Yes,2015,,
354,MOSTA,330000.0,house,No,Yes,2015,,
355,MOSTA,186000.0,maisonette,No,Yes,2015,,62.0
356,MOSTA,325000.0,house,No,No,2015,,
357,MOSTA,280000.0,house,Yes,No,2015,,
358,MOSTA,335000.0,house,No,Yes,2015,,
359,MOSTA,239000.0,house,No,No,2015,,230.0
360,MOSTA ,,maisonette,No,No,2015,,
361,MQABBA,326000.0,house,No,Yes,2015,,
362,MQABBA,96000.0,house,No,No,2015,,
363,MQABBA,96500.0,apartment,No,No,2015,3,
364,MQABBA ,,house,No,Yes,2015,,
365,MSIDA CIRCUS,125000.0,apartment,No,No,2015,4,125.0
366,MSIDA,340000.0,house,No,Yes,2015,3,
367,MSIDA,99000.0,apartment,Yes,No,2015,2,90.0
368,MSIDA,110000.0,apartment,No,No,2015,,
369,MSIDA,100000.0,apartment,No,Yes,2015,,
370,MSIDA,,,No,No,2015,,
371,MSIDA,119000.0,house,No,No,2015,,
372,MSIDA,79000.0,apartment,No,No,2015,,
373,MSIDA,,apartment,No,No,2015,3,
374,MSIDA,135000.0,apartment,No,No,2015,3,
375,MSIDA,102000.0,house,No,No,2015,2,
376,MSIDA,110000.0,apartment,No,No,2015,2,100.0
377,MSIDA,96000.0,apartment,No,No,2015,,
378,MSIDA,,house,No,No,2015,,
379,MSIDA,152000.0,house,No,No,2015,,
380,NAXXAR,150000.0,apartment,No,No,2015,,
381,NAXXAR,205000.0,apartment,No,Yes,2015,3,180.0
382,NAXXAR,718000.0,house,Yes,Yes,2015,,
383,NAXXAR,710000.0,house,Yes,No,2015,3,60.0
384,NAXXAR,980000.0,villa,No,No,2015,,
385,NAXXAR,875000.0,house,Yes,Yes,2015,,
386,NAXXAR,,,No,No,2015,,
387,NAXXAR,,apartment,No,No,2015,3,
388,NAXXAR,115000.0,apartment,No,No,2015,3,
389,NAXXAR,,house,No,Yes,2015,,
390,NAXXAR,540000.0,villa,No,Yes,2015,4,
391,NAXXAR,395000.0,maisonette,Yes,Yes,2015,,
392,NAXXAR,950000.0,house,No,Yes,2015,4,
393,PAOLA,200000.0,house,No,No,2015,,
394,PAOLA,270300.0,house,No,Yes,2015,3,
395,PAOLA,285000.0,house,No,Yes,2015,3,
396,PAOLA,130000.0,maisonette,No,No,2015,,
397,PAOLA,100000.0,apartment,No,Yes,2015,3,
398,PAOLA,63000.0,house,No,No,2015,2,
399,PAOLA,110000.0,house,No,No,2015,,
400,PIETÀ,85000.0,apartment,No,No,2015,,
401,PIETÀ,265000.0,house,No,No,2015,,230.0
402,PORTOMASO,,apartment,No,No,2015,3,
403,PORTOMASO,318000.0,,No,No,2015,,
404,PORTOMASO,483000.0,apartment,No,No,2015,2,
405,PWALES,115000.0,apartment,No,Yes,2015,3,
406,QAWRA,75000.0,apartment,No,No,2015,2,
407,QAWRA,160000.0,,No,No,2015,2,
408,QAWRA,385000.0,house,No,No,2015,3,
409,QAWRA,185000.0,maisonette,No,No,2015,,270.0
410,QAWRA,110000.0,apartment,No,No,2015,3,
