,LOCATION,PRICE,TYPE_OF_PROPERTY,POOL,GARAGE,DATE,BEDROOM,SQM
246,MELLIEĦA,115000.0,apartment,No,No,2015,3,
247,MELLIEĦA,120000.0,house,No,No,2015,3,
248,MELLIEĦA,198000.0,apartment,No,No,2015,3,
249,MĠARR,190000.0,house,No,Yes,2015,3,
250,MĠARR,198000.0,house,No,Yes,2015,3,
251,MĠARR,158000.0,apartment,No,No,2015,3,160.0
252,MOSTA,470000.0,house,No,Yes,2015,3,
253,MOSTA,319000.0,house,No,Yes,2015,3,
254,MOSTA,680000.0,villa,No,Yes,2015,3,86.0
255,MOSTA,165000.0,apartment,No,No,2015,3,
256,MOSTA,141000.0,house,No,No,2015,3,
257,MOSTA,345000.0,house,Yes,No,2015,3,
258,MOSTA,215000.0,maisonette,No,No,2015,3,
259,MOSTA,225000.0,house,No,No,2015,3,200.0
260,MOSTA,209000.0,house,No,No,2015,3,
261,MOSTA,129000.0,apartment,No,No,2015,3,
262,MOSTA,225000.0,maisonette,No,Yes,2015,3,
263,MOSTA,450000.0,villa,No,Yes,2015,3,
264,MOSTA,245000.0,house,No,Yes,2015,3,
265,MOSTA,319000.0,house,No,Yes,2015,3,
266,MOSTA,172000.0,maisonette,No,No,2015,3,
267,MOSTA,155000.0,maisonette,No,No,2015,3,
268,MOSTA,140000.0,apartment,No,No,2015,3,
269,MOSTA,95000.0,house,No,No,2015,3,
270,MOSTA,165000.0,apartment,No,No,2015,3,
271,MOSTA,159000.0,house,No,Yes,2015,2,
272,MOSTA,184000.0,house,No,No,2015,3,190.0
273,MOSTA,330000.0,house,No,Yes,2015,4,
274,MOSTA,141000.0,house,No,No,2015,2,
275,MOSTA,330000.0,house,No,Yes,2015,3,
276,MOSTA,186000.0,maisonette,No,Yes,2015,3,62.0
277,MOSTA,325000.0,house,No,No,2015,3,
278,MOSTA,280000.0,house,Yes,No,2015,3,
279,MOSTA,335000.0,house,No,Yes,2015,3,
280,MOSTA,239000.0,house,No,No,2015,3,230.0
281,MQABBA,326000.0,house,No,Yes,2015,3,
282,MQABBA,96000.0,house,No,No,2015,3,
283,MQABBA,96500.0,apartment,No,No,2015,3,
284,MSIDA,340000.0,house,No,Yes,2015,3,
285,MSIDA,99000.0,apartment,Yes,No,2015,2,90.0
286,MSIDA,110000.0,apartment,No,No,2015,3,
287,MSIDA,100000.0,apartment,No,Yes,2015,3,
288,MSIDA,119000.0,house,No,No,2015,3,
289,MSIDA,79000.0,apartment,No,No,2015,3,
290,MSIDA,135000.0,apartment,No,No,2015,3,
291,MSIDA,102000.0,house,No,No,2015,2,
292,MSIDA,110000.0,apartment,No,No,2015,2,100.0
293,MSIDA,96000.0,apartment,No,No,2015,3,
294,MSIDA,152000.0,house,No,No,2015,3,
295,NAXXAR,150000.0,apartment,No,No,2015,3,
296,NAXXAR,205000.0,apartment,No,Yes,2015,3,180.0
297,NAXXAR,718000.0,house,Yes,Yes,2015,3,
298,NAXXAR,710000.0,house,Yes,No,2015,3,60.0
299,NAXXAR,980000.0,villa,No,No,2015,3,
300,NAXXAR,875000.0,house,Yes,Yes,2015,3,
301,NAXXAR,115000.0,apartment,No,No,2015,3,
302,NAXXAR,540000.0,villa,No,Yes,2015,4,
303,NAXXAR,395000.0,maisonette,Yes,Yes,2015,3,
304,NAXXAR,950000.0,house,No,Yes,2015,4,
305,PAOLA,200000.0,house,No,No,2015,3,
306,PAOLA,270300.0,house,No,Yes,2015,3,
307,PAOLA,285000.0,house,No,Yes,2015,3,
308,PAOLA,130000.0,maisonette,No,No,2015,3,
309,PAOLA,100000.0,apartment,No,Yes,2015,3,
310,PAOLA,63000.0,house,No,No,2015,2,
311,PAOLA,110000.0,house,No,No,2015,3,
312,PIETÀ,85000.0,apartment,No,No,2015,3,
313,PIETÀ,265000.0,house,No,No,2015,3,230.0
314,PORTOMASO,483000.0,apartment,No,No,2015,2,
315,QAWRA,75000.0,apartment,No,No,2015,2,
316,QAWRA,385000.0,house,No,No,2015,3,
317,QAWRA,185000.0,maisonette,No,No,2015,3,270.0
318,QAWRA,110000.0,apartment,No,No,2015,3,
319,QAWRA,87000.0,apartment,No,No,2015,3,
320,QAWRA,86500.0,apartment,No,Yes,2015,2,
321,QAWRA,75500.0,house,No,No,2015,3,
322,QAWRA,400000.0,house,No,No,2015,4,
323,QAWRA,220000.0,maisonette,No,Yes,2015,3,
324,QAWRA,135000.0,apartment,No,No,2015,3,
325,QAWRA,107000.0,apartment,No,No,2015,3,
326,QAWRA,96000.0,apartment,No,No,2015,3,
327,QAWRA,165000.0,house,No,No,2015,3,
328,QAWRA,340000.0,house,No,Yes,2015,3,
329,QAWRA,180000.0,house,No,No,2015,2,
330,QAWRA,320000.0,house,No,No,2015,3,
331,QAWRA,100000.0,apartment,No,No,2015,3,
332,QAWRA,180000.0,house,No,No,2015,3,
333,QAWRA,17800.0,apartment,No,Yes,2015,3,
334,QORMI,238000.0,house,No,Yes,2015,3,
335,QORMI,107000.0,apartment,No,No,2015,3,
336,QORMI,126000.0,apartment,No,Yes,2015,3,200.0
337,QORMI,195000.0,maisonette,Yes,No,2015,3,
338,QORMI,250000.0,house,No,Yes,2015,3,
339,RABAT,370000.0,apartment,No,No,2015,3,
340,RABAT,170000.0,apartment,No,No,2015,3,190.0
341,RABAT,200000.0,house,No,No,2015,3,
342,RABAT,450000.0,house,No,Yes,2015,3,
343,RABAT,270000.0,house,No,No,2015,3,
344,RABAT,79000.0,apartment,No,No,2015,2,
345,RABAT,550000.0,villa,No,No,2015,3,
346,SALINA,650000.0,house,Yes,Yes,2015,3,850.0
347,SAN ĠWANN,125000.0,maisonette,No,No,2015,3,
348,SAN ĠWANN,123000.0,apartment,No,No,2015,3,
349,SAN ĠWANN,103000.0,apartment,No,No,2015,3,
350,SAN ĠWANN,150000.0,apartment,No,No,2015,3,150.0
351,SAN ĠWANN,70000.0,apartment,No,No,2015,1,
352,SAN ĠWANN,138000.0,apartment,No,Yes,2015,3,
